id,path,parent_id,permission_id,method,description,nav_label,nav_group,nav_order,lucide_icon,is_public,is_visible,is_disabled,is_admin_only,rollout_at,nav_group_id
03b2372c-bf0e-40e1-967e-a150fd950e48,calendar,,841e7c24-023d-41b8-8ed7-00dcfa01c3cb,GET,,Calendar,,2,Calendar,false,true,false,false,,
0f2156e5-c03b-4730-a9c3-e1d1e2a5faf2,current,11145a20-8a0e-4f1c-bbcf-0b31bea5a7af,497e1880-3de4-458c-8823-8b65216f8834,GET,,Current,,1,Play,false,true,false,false,,
11145a20-8a0e-4f1c-bbcf-0b31bea5a7af,tasks,,9d8ce83d-c423-456b-83e3-c0fcfe6735bf,GET,,Tasks,,4,CheckSquare,false,true,false,false,,
1b19b5f5-a7e9-4111-93d5-65eef02999fb,sprints,03b2372c-bf0e-40e1-967e-a150fd950e48,857a5b9e-6723-48c7-a5b3-6a3e6952a60d,GET,,Sprints,,3,FastForward,false,true,false,false,,
29a3e1f7-60ed-4ec6-a842-14d8fe4a9096,completed,11145a20-8a0e-4f1c-bbcf-0b31bea5a7af,b83ac130-b5c6-462a-a161-95b24b7bc08b,GET,,Completed,,2,CheckCircle,false,true,false,false,,
2bf1430c-81ac-4116-9af1-39f8a09d7045,contact,cb7aef16-26a5-436b-b99d-59d164a9e352,421ddf04-30e8-4213-a7a8-d1349ac61872,GET,,Contact,,1,Mail,true,true,false,false,,
39da8000-7520-44d1-9737-020c02e082e8,assets,b564150e-dbb7-4489-8fa8-ad316db964b7,5d850015-51cb-4a4b-892d-45d416b76cd1,GET,,Assets,,3,Image,false,true,false,false,,
3a70f725-f0c6-4e2e-b76f-cc4109d0434d,progress,f12f76e8-0f14-470d-8681-06fd49d66c88,f81689be-02f7-4cd9-86ba-f4ed7220fbd6,GET,,Progress,,1,TrendingUp,false,true,false,false,,
3cb4895e-a09d-4980-b59e-8fb104f833bd,completed,da485099-9d73-4881-ac63-73cea8eb6c08,953322fb-79f8-4efc-8bd3-9537d81ee7ed,GET,,Completed,,2,Check,false,true,false,false,,
45907f36-2e4c-440a-96ef-2fc39012d9a7,brand,e0610b9d-2ce4-430f-9229-ba19227ad06c,8d2f8ce0-c472-4cbf-a016-1829441b625d,GET,,Brand,,2,Palette,false,true,false,false,,
47f7436d-d100-47d8-8e71-94aeed103273,team,e0610b9d-2ce4-430f-9229-ba19227ad06c,bee27235-973c-40fc-a93d-30187c343f21,GET,,Team,,1,Users,false,true,false,false,,
68834441-1391-46ec-8e83-ca94c9303242,meetings,03b2372c-bf0e-40e1-967e-a150fd950e48,1331b5b0-df50-4ebd-9ff2-b2f1fe906671,GET,,Meetings,,2,Users,false,true,false,false,,
6901402d-7f50-4599-bd71-5972dc374e34,milestones,03b2372c-bf0e-40e1-967e-a150fd950e48,8d03a4a0-b11c-47e9-9b37-d4763a6b5c9b,GET,,Milestones,,1,Flag,false,true,false,false,,
790eb9d2-8b3f-441e-8667-fdabea556c84,changelog,f12f76e8-0f14-470d-8681-06fd49d66c88,6c0b5a13-0290-4938-a559-fb28aba2b29b,GET,,Changelog,,2,List,false,true,false,false,,
7e704f41-bbef-4436-b59c-1c716d6ca41c,privacy,cb7aef16-26a5-436b-b99d-59d164a9e352,dd902377-74fb-4a7f-84ab-7cca6122b1dd,GET,,Privacy,,4,Shield,true,true,false,false,,
8b4c5b49-ecb8-491d-9662-1b27c2f96957,invoices,b564150e-dbb7-4489-8fa8-ad316db964b7,1195d665-fd90-460a-b3aa-4bc89650351c,GET,,Invoices,,5,Receipt,false,true,false,false,,
9253bda6-9b00-44b1-b641-183e0d8b0db3,quotes,b564150e-dbb7-4489-8fa8-ad316db964b7,e0127e22-a5d4-4845-8fb6-c892e527bcc4,GET,,Quotes,,2,FileText,false,true,false,false,,
9e7beee1-9d7d-4e06-9b71-d01e57dc7b93,contracts,b564150e-dbb7-4489-8fa8-ad316db964b7,2e9580e2-12b5-41b2-85ce-e9fc8d1a96b1,GET,,Contracts,,1,FileSignature,false,true,false,false,,
a1213e7d-91f9-4da1-85f9-d2c79974746e,faq,cb7aef16-26a5-436b-b99d-59d164a9e352,6a494ec1-8bf5-4eeb-8102-eb2b9c5b796a,GET,,FAQ,,2,HelpCircle,true,true,false,false,,
